Name,DOB,Gold,Silver,Bronze
Ryan Lochte,3-Aug-84,2,2,1
Alicia Coutts,14-Sep-87,1,2,1
Michael Phelps,30-Jun-85,2,2,0
Allison Schmitt,7-Jun-90,2,1,1
Yannick Agnel,9-Jun-92,2,1,0
Missy Franklin,10-May-95,2,0,1
Camille Muffat,28-Oct-89,1,1,1
Yang Sun,1-Dec-91,1,1,1
Nathan Adrian,7-Dec-88,1,1,0
Sandra Auffarth,27-Dec-86,1,0,1
Bronte Barratt,8-Feb-89,0,1,1
Ricky Berens,21-Apr-88,1,1,0
Bo Bae Ki,20-Feb-88,2,0,0
Elisa Di Francisca,13-Dec-82,2,0,0
Gabrielle Douglas,31-Dec-95,2,0,0
Brittany Elmslie,19-Jun-94,1,1,0
Arianna Errigo,6-Jun-88,1,1,0
Matthew Grevers,26-Mar-85,1,1,0
Ryosuke Irie,24-Jan-90,0,1,1
Michael Jung,31-Jul-82,2,0,0
Victoria Komova,30-Jan-95,0,2,0
Olena Kostevych,14-Apr-85,0,0,2
Clement Lefert,26-Sep-87,1,1,0
Amaury Leveaux,2-Dec-85,1,1,0
Aliya Mustafina,30-Sep-94,0,1,1
Jin Hyek Oh,15-Aug-81,1,0,1
Ranomi Kromowidjojo,20-Aug-90,1,1,0
Melanie Schlanger,31-Aug-86,1,1,0
Emily Seebohm,5-Jun-92,1,1,0
Rebecca Soni,18-Mar-87,1,1,0
Satomi Suzuki,29-Jan-91,0,1,1
Taehwan Park,27-Sep-89,0,2,0
Valentina Vezzali,14-Feb-74,1,0,1
Dana Vollmer,13-Nov-87,2,0,0
Shiwen Ye,1-Mar-96,2,0,0
Olga Zabelinskaya,10-May-80,0,0,2
Jennifer Abel,23-Aug-91,0,0,1
Alaaeldin Abouelkassem,25-Nov-90,0,1,0
Chantal Achterberg,16-Apr-85,0,0,1
Filip Adamski,5-Jan-83,1,0,0
Rebecca Adlington,17-Feb-89,0,0,1
Kseniia Afanaseva,13-Sep-91,0,1,0
